balance_id,trip_id,traveler_id,paid_lps,owed_lps,expense_balance_lps,payment_sent_lps,payment_received_lps,net_balance_lps
T001_P001,T001,P001,0.0,7911.712320000001,-7911.712320000001,2911.58,0.0,-5000.132320000001
T001_P002,T001,P002,36018.017400000004,7401.54212,28616.475280000006,0.0,21816.65,6799.825280000005
T001_P003,T001,P003,0.0,7076.31192,-7076.31192,7076.0,0.0,-0.3119200000001001
T001_P004,T001,P004,0.0,7202.0711200000005,-7202.0711200000005,7202.07,0.0,-0.0011200000008102506
T001_P005,T001,P005,0.0,6426.37992,-6426.37992,4627.0,0.0,-1799.3799200000003
T002_P001,T002,P001,400.0,4582.395,-4182.395,3000.0,0.0,-1182.3950000000004
T002_P002,T002,P002,17445.170000000002,4653.395,12791.775000000001,0.0,9512.09,3279.6850000000013
T002_P003,T002,P003,227.1,4422.395,-4195.295,2098.0,0.0,-2097.2950000000005
T002_P004,T002,P004,351.31,4765.395,-4414.085,4414.09,0.0,0.005000000000109139
